pair_id,source,target,beta,total_distance,total_risk,combined_cost,num_nodes
1,9079,2719,0.0,2309.9055299569004,543.3248485629472,5.276008571342901,0
1,9079,2719,0.1,2217.9763727806367,543.3494220816945,4.93115816111304,0
1,9079,2719,0.3,2005.98226183408,547.5083379199017,4.225100299412075,0
1,9079,2719,0.5,1894.7128452877228,551.7138055424007,3.4650446145275637,0
1,9079,2719,0.7,1894.7128452877228,551.7138055424007,2.7027238520864647,0
1,9079,2719,0.9,1894.7128452877228,551.7138055424007,1.940403089645366,0
1,9079,2719,1.0,1705.9111557408387,962.0604557687772,1.4038694768048237,0
2,3607,8981,0.0,8659.893401178497,1124.4845232692608,10.742267911810712,0
2,3607,8981,0.1,8578.216515973354,1124.4873889833634,10.374006417516842,0
2,3607,8981,0.3,8560.496933120854,1124.9595135766003,9.6363891227026,0
2,3607,8981,0.5,8476.960827590705,1134.5322197066725,8.894760722691977,0
2,3607,8981,0.7,7252.672581982674,1241.8116145327288,7.753167457350914,0
2,3607,8981,0.9,6712.873189408333,1446.119276119017,6.378068378130547,0
2,3607,8981,1.0,6555.477266784079,2201.9485357904337,5.394791170545699,0
3,9079,5315,0.0,12053.584574222252,1062.1640999398803,9.77943535292808,0
3,9079,5315,0.1,11711.132840992668,1061.2702226610622,9.766217307064741,0
3,9079,5315,0.3,11364.67159135981,1067.2511163977292,9.694390999911615,0
3,9079,5315,0.5,7943.173553079164,1187.6398913874525,8.938292244452567,0
3,9079,5315,0.7,7756.393384118656,1202.2076598607687,7.9202990049003,0
3,9079,5315,0.9,7742.776643378968,1209.4700845489524,6.890715329615271,0
3,9079,5315,1.0,6810.254690044742,2806.0766318121327,5.604458741269392,0
4,4567,348,0.0,29928.557662707495,1659.9452568648694,14.999447039039074,0
4,4567,348,0.1,20452.84747777111,1647.010244956511,15.41961173565813,0
4,4567,348,0.3,19679.950600832395,1660.5176732021139,15.65927963105514,0
4,4567,348,0.5,18077.045135394153,1741.9211189690582,15.584264844432635,0
4,4567,348,0.7,12164.800633273979,2560.5442775669158,14.47901171252188,0
4,4567,348,0.9,10736.525686339097,3022.7961241205444,10.928565913929644,0
4,4567,348,1.0,10386.741537921247,4479.697443969545,8.54770739934341,0
5,1391,4919,0.0,8202.82455045926,616.6247438777162,5.602270140178953,0
5,1391,4919,0.1,7844.401107036332,615.7050132352051,5.688323188296172,0
5,1391,4919,0.3,7774.859661166574,618.6762808683445,5.84850661403233,0
5,1391,4919,0.5,7665.814683351889,621.7688303342758,5.981383688679726,0
5,1391,4919,0.7,6447.621839167573,733.9412460995426,5.786771760464172,0
5,1391,4919,0.9,6447.621839167573,733.9412460995426,5.466278710497101,0
5,1391,4919,1.0,5430.553275550744,2076.1782936895715,4.469041637984546,0
6,1369,7081,0.0,24512.856037345937,1865.747149946092,17.280274241879724,0
6,1369,7081,0.1,23453.04140974229,1865.1262570548163,17.522111027432768,0
6,1369,7081,0.3,22446.35887986305,1883.2790654662704,17.79713795226676,0
6,1369,7081,0.5,21646.02673011896,1930.1777077750896,17.91268273331282,0
6,1369,7081,0.7,16560.42100679576,2446.0761562233197,16.524889495460613,0
6,1369,7081,0.9,15840.847048403883,2718.3671000847057,14.342989906817724,0
6,1369,7081,1.0,14765.374361834825,6293.6882432324755,12.15107733507636,0
7,5942,10146,0.0,5787.074785368394,879.4411591964293,8.428698577741715,0
7,5942,10146,0.1,5752.961534866674,879.4411591964293,8.059265280415154,0
7,5942,10146,0.3,5546.177628253477,880.4291789395073,7.283403913837178,0
7,5942,10146,0.5,5286.311831436763,893.2490837516742,6.469356789820349,0
7,5942,10146,0.7,2973.648635495308,1089.990725102163,4.937216884918062,0
7,5942,10146,0.9,2850.659950227133,1120.3619040265419,3.2187766090469365,0
7,5942,10146,1.0,2438.4762444449475,1560.72252180607,2.0067295755524017,0
8,8839,6612,0.0,18453.617589830155,1603.8350370720104,14.99833370779808,0
8,8839,6612,0.1,16068.139586323126,1599.6802703457736,14.846684119722582,0
8,8839,6612,0.3,14167.773699871683,1624.376927288091,14.212571978026977,0
8,8839,6612,0.5,13745.976445412396,1651.554705806152,13.431613747432356,0
8,8839,6612,0.7,13589.398646417269,1681.2431573723131,12.577542251039498,0
8,8839,6612,0.9,12599.249797108725,1952.4219113167246,11.20175330715742,0
8,8839,6612,1.0,11549.602980141774,4113.440519565471,9.504677332386423,0
9,6161,2311,0.0,9588.021006713905,468.55020088476067,4.0964666756036445,0
9,6161,2311,0.1,9172.385622822976,467.78035627505733,4.44374836927218,0
9,6161,2311,0.3,9027.910290722026,472.2143459583258,5.1293450594416985,0
9,6161,2311,0.5,8612.546832664484,501.0561461551582,5.746125958508427,0
9,6161,2311,0.7,8267.257386554276,537.4041932505745,6.206092404020591,0
9,6161,2311,0.9,7786.332575899093,790.3086714274771,6.506650356805683,0
9,6161,2311,1.0,6673.829429728455,2851.832807108762,5.492188381714813,0
10,5875,5545,0.0,13306.40814455745,720.6688966205487,6.441099965864131,0
10,5875,5545,0.1,11569.78482559124,719.6607890360865,6.776317577487789,0
10,5875,5545,0.3,9511.698259295847,733.036026932664,7.128331431232801,0
10,5875,5545,0.5,9511.698259295847,733.036026932664,7.3281212275922885,0
10,5875,5545,0.7,9374.090380884418,746.3947594239787,7.49821242891647,0
10,5875,5545,0.9,8835.182816959552,863.7430521500603,7.361697484575843,0
10,5875,5545,1.0,8302.33354780742,1714.2231206259346,6.8323561955709655,0
